"Blocking Key Value","Frequency"
"88","577"
"89","3191"
"90","3154"
"91","3748"
"92","2792"
"93","691"
"94","2607"
"95","1475"
"96","1036"
"97","143"
"98","332"
"77","3"
"99","116"
"78","7"
"79","2"
"100","33"
"101","15"
"102","1"
"103","4"
"80","23"
"81","44"
"82","181"
"83","67"
"84","440"
"85","1204"
"86","1365"
"87","2876"
"98","26814"
"82","6960"
"99","4650"
"81","240"
"100","189"
"101","70"
"80","36"
"91","4469850"
"89","2966920"
"90","2404545"
"94","2213315"
"87","2116884"
"92","1964560"
"95","532532"
"86","407886"
"85","312355"
"96","308588"
"84","29422"
